colors,language,type,text,flavor,title
W,Portuguese (Brazil),Mágica Instantânea,Coloque a criatura alvo atacante no fundo do grimório de seu dono. Seu controlador ganha uma quantidade de pontos de vida igual à resistência dela.,"""Sem dúvida os árbitros darão um fim a você, depois que todos os documentos forem assinados. Mas eu terei justiça agora"" — Alovnek, mago da guilda Boros",Condenar
W,Portuguese (Brazil),Mágica Instantânea,Destrua o encantamento alvo.,"""A ilusão é o arrimo dos que desconhecem a realidade."" — Cho-Manno",Desmistificar
W,Portuguese (Brazil),Criatura — Humano Soldado,As outras criaturas do tipo Soldado recebem +1/+1 e têm iniciativa. (Elas causam dano de combate antes de criaturas sem a habilidade de iniciativa.),Ele é o único que consegue enxergar alguma coisa nos mapas sobrepostos e relatórios conflituosos.,Marechal-de-Campo
W,Portuguese (Brazil),Criatura — Espírito,{T}: A criatura alvo recebe +1/+1 até o final do turno.,"""Sempre pensei no destino como uma treliça de aço: intricada mas rigorosamente imutável. Até que uma força entortou as barras do destino para salvar a minha vida."" — Ilromov, contador de histórias viajante",Carcereiro Fantasma
W,Portuguese (Brazil),Encantamento,As criaturas que você controla recebem +1/+1.,"Uma vez ouvido, o canto de batalha de um anjo torna-se parte do ouvinte para sempre.",Antífona Gloriosa
W,Portuguese (Brazil),Mágica Instantânea,Saraivada de Flechas causa X pontos de dano divididos como você escolher entre qualquer número de criaturas atacantes alvo.,"""Não disparem nenhuma flecha até que eu diga. E quando eu disser, não deixem nenhuma flecha em Eiganjo."" — General Takeno",Saraivada de Flechas
W,Portuguese (Brazil),Encantamento — Aura,"Encantar criatura (Ao jogar este card, escolha uma criatura alvo. Este card entra em jogo anexado àquela criatura.)
Previna todo o dano que seria causado a e causado pela criatura encantada.","Para os que atingem a iluminação, a violência é uma distração desnecessária.",Coração de Luz
W,Portuguese (Brazil),Encantamento,Cada criatura que você controla pode bloquear uma criatura adicional.,"Na guerra, assim como na sociedade, a posição é fundamental.",Terreno Elevado
W,Portuguese (Brazil),Mágica Instantânea,Previna todo o dano de combate que seria causado neste turno.,"""Hoje há fartura e paz em nossas terras, mas a guerra não acabou. Reserve sua sede de sangue. Você vai precisar dela amanhã."" — Karrim, curandeiro Samita",Dia Sagrado
W,Portuguese (Brazil),Encantamento — Aura,"Encantar criatura (Ao jogar este card, escolha uma criatura alvo. Este card entra em jogo anexado àquela criatura.)
A criatura encantada recebe +1/+2.","""Que os anjos voem atrás de você. Que sua espada possa romper a escuridão."" —Benção de guerra de Serra",Força Divina
W,Portuguese (Brazil),Criatura — Humano Soldado,{W}: Guarda de Honra recebe +0/+1 até o final do turno.,A força de um. A coragem de dez.,Guarda de Honra
W,Portuguese (Brazil),Criatura — Humano Clérigo,{1}{W}{W}: A criatura alvo recebe +1/+1 até o final do turno.,"Grelden ajoelhou-se e sentiu a mão fria e seca do sacerdote em sua fronte. Horas mais tarde, quando voltou a ter consciência, estava coberto com o sangue de seus inimigos no campo da vitória.",Sacerdote Icatiano
W,Portuguese (Brazil),Criatura — Humano Soldado,"{T}: Todo o dano de combate que seria causado a você por criaturas não bloqueadas neste turno, em vez disso, será causado à Guarda Real Kjeldorana.","Na tundra congelada encontra-se a Guarda Real Kjeldorana, lanças ao alto, com o juramento ao rei em seus lábios.",Guarda Real Kjeldorana
W,Portuguese (Brazil),Criatura — Elefante Clérigo,"{W}, {T}: Vire a criatura alvo.",Os místicos mais antigos levam seu voto de silêncio tão a sério que o impõem a qualquer um que esteja em sua presença.,Loxodonte Místico
W,Portuguese (Brazil),Criatura — Humano Soldado,"Quando Sentinela Leal bloquear uma criatura, destrua aquela criatura e Sentinela Leal.","""Minha causa é simples: Impedi-lo, a qualquer custo, de ver o interior desta fortaleza.""",Sentinela Leal
W,Portuguese (Brazil),Mágica Instantânea,Previna todo o dano que as fontes pretas e vermelhas causariam neste turno.,"""O Escudo Branco não é o metal polido que você amarra ao antebraço, mas a convicção que arde em seu peito."" — Lucilde Fiksdotter, líder da Ordem do Escudo Branco",Luminescência
W,Portuguese (Brazil),Encantamento,"As criaturas do tipo Soldado têm vigilância. (Elas não são viradas para atacar.)
{2}{W}: Coloque em jogo uma ficha de criatura branca 1/1 do tipo Soldado.","As guerras são vencidas com força, coragem e números especialmente números.",Mobilização
W,Portuguese (Brazil),Criatura — Humano Nômade Clérigo,"{W}, {T}: Coloque em jogo o card alvo de Aura de um cemitério anexado a uma criatura que você controla. (Você controla aquela Aura.)","Nas estepes selvagens, a história desaparece na poeira. Apenas os criadores de mitos permanecem para contar o que foi, é e será.",Nômade Criador de Mitos
W,Portuguese (Brazil),Encantamento — Aura,"Encantar criatura (Ao jogar este card, escolha uma criatura alvo. Este card entra em jogo anexado àquela criatura.)
A criatura encantada não pode atacar nem bloquear.","Pela primeira vez na vida, Grakk sentiu-se agitado e confuso por dentro.",Pacifismo
W,Portuguese (Brazil),Criatura — Humano Cavaleiro,"Iniciativa, proteção contra o preto, proteção contra o vermelho (Esta criatura causa dano de combate antes de criaturas sem a habilidade de iniciativa. Esta criatura não pode ser bloqueada, ser alvo, sofrer dano, ou ser encantada por algo que seja preto ou vermelho.)","""Não me considero um herói. Sei apenas o que os Vec ensinam: a justiça deve ser sempre feita e a corrupção deve ser sempre combatida.""",Paladino en-Vec
W,Portuguese (Brazil),Encantamento — Aura,"Encantar criatura (Ao jogar este card, escolha uma criatura alvo. Este card entra em jogo anexado àquela criatura.)
Todo o dano que seria causado a você, em vez disso, é causado à criatura encantada.","""Por que devo considerar uma punição para as minhas ações quando tenho tantos indivíduos desejosos de fazê-lo por mim?"" — Senhor Konda",Pária
W,Portuguese (Brazil),Mágica Instantânea,"Você ganha 3 pontos de vida.
Compre um card.",Os curandeiros samitas nunca misturam seu elixir pungente com adoçante ou chá. A ameaça de uma segunda dose é suficiente para colocar a maioria dos guerreiros em pé novamente.,Dose Restauradora
W,Portuguese (Brazil),Criatura Lendária — Anjo,"Voar (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.)
No início de sua manutenção, você pode devolver o card de criatura alvo de seu cemitério para o jogo.","""Você não morreu até que eu consinta.""","Reya, Portadora da Alvorada"
W,Portuguese (Brazil),Mágica Instantânea,A criatura alvo bloqueadora recebe +7/+7 até o final do turno.,Às vezes a maior força é a força da convicção.,Integridade
W,Portuguese (Brazil),Encantamento,Nenhum jogador pode jogar mais do que uma mágica a cada turno.,"Indicados pelo próprio cã, os membros do tribunal garantem que todas as disputas sejam resolvidas com a máxima justiça.",Regra de Lei
W,Portuguese (Brazil),Criatura — Humano Clérigo,{T}: Previna o próximo 1 ponto de dano que seria causado à criatura ou ao jogador alvo neste turno.,"Os curandeiros acabam por adquirir os dons divinos da integridade física e espiritual. Aos mais devotos, também é concedida a habilidade de passar a integridade física para outros.",Curandeiro Samita
W,Portuguese (Brazil),Criatura — Anjo,"Voar, vigilância (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance, e esta criatura não é virada para atacar.)",O som de sua espada é mais belo que o ecoar das vozes de um coral.,Anjo Serra
W,Portuguese (Brazil),Encantamento — Aura,"Encantar criatura (Ao jogar este card, escolha uma criatura alvo. Este card entra em jogo anexado àquela criatura.)
A criatura encantada recebe +2/+2 e tem a habilidade de voar e vigilância. (Ela só pode ser bloqueada por criaturas com a habilidade de voar ou alcance e não é virada para atacar.)",O toque dos anjos de Serra eleva as esperanças e fortifica causas nobres.,Abraço de Serra
W,Portuguese (Brazil),Criatura — Felino Cavaleiro,"Voar, iniciativa (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance, e causa dano de combate antes de criaturas sem a habilidade de iniciativa.)","""Nós leoninos passamos a governar as planícies alçando vôo nos céus."" — Raksha, Filhote Dourado",Patrulha Caçadora Celeste
W,Portuguese (Brazil),Criatura — Felino Cavaleiro,"Voar, vigilância (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance, e esta criatura não é virada para atacar.)","Tão incansável quanto sua cavalgada, a vigília de um caçador celeste é medida em dias.",Caçadora Celeste Espreitadora
W,Portuguese (Brazil),Criatura — Felino Cavaleiro,"Voar, golpe duplo (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance, e causa tanto o dano da iniciativa quanto o dano de combate normal.)","""Pegue a graça e a força mortais de um leonino, misture com a cavalgada de um ptero, capaz de partir um inimigo ao meio, e arme-o com aço entalhado. Isso é um caçador celeste e a razão de Taj-Nar nunca ter sido subjugada."" — Raksha, Filhote Dourado",Caçadora Celeste Escaramuçadora
W,Portuguese (Brazil),Criatura — Humano Clérigo,"Toda vez que outra criatura entra em jogo, você ganha 1 ponto de vida.",Conta as almas com cuidado e certifica-te que nenhuma se perdeu. — Ensinamento Vec,Encarregado das Almas
W,Portuguese (Brazil),Encantamento — Aura,"Encantar criatura (Ao jogar este card, escolha uma criatura alvo. Este card entra em jogo anexado àquela criatura.)
Toda vez que a criatura encantada causa dano, você ganha aquela quantidade em pontos de vida.","""Estamos todos inextrincavelmente ligados, nossas almas entrelaçadas como tapeçaria.""",Vínculo Espiritual
W,Portuguese (Brazil),Criatura — Humano Mago,{2}: A criatura alvo verde ou azul recebe +0/+1 até o final do turno.,"""Que a minha esperança seja teu escudo.""",Tecelão de Espíritos
W,Portuguese (Brazil),Criatura — Humano Clérigo Mutante,{7}{W}: Você ganha 5 ponto de vida.,"""As constelações formam um tapete de luzes que traçam a história despedaçada do meu povo. Dia e noite eu sinto a sua presença cintilante me chamando para completar a trama.""",Invocadora da Luz das Estrelas
W,Portuguese (Brazil),Criatura — Humano Rebelde,Vigilância (Esta criatura não é virada para atacar.),"""Melhor deixar sua língua na toca, gentalha de Mercádia, pois suas palavras prateadas e seus subornos dourados não têm tanto brilho fora de sua cidade.""",Guarda Ferrenha
W,Portuguese (Brazil),Criatura — Ave,Voar (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.),"Seu olho, o sol fulgurante; seu grito, o vento penetrante.",Falcão da Cauda Solar
W,Portuguese (Brazil),Mágica Instantânea,Destrua todos os encantamentos.,"""Deixe tudo voltar a sua verdadeira natureza, para que o destino possa seguir seu curso.""",Tempestade de Luz
W,Portuguese (Brazil),Criatura — Humano,"Quando Caçador de Tesouros entra em jogo, você pode devolver o card de artefato alvo de seu cemitério para a sua mão.","""Os tesouros dos anciãos pertencem aos museus, não às mãos sujas dos ladrões de tumbas.""",Caçador de Tesouros
W,Portuguese (Brazil),Criatura — Humano Clérigo,Você tem manto. (Você não pode ser alvo de mágicas ou habilidades.),Sua certeza é tão grande que meros fatos não podem abalá-la.,Adepto da Verdade
W,Portuguese (Brazil),Criatura — Lobo,Iniciativa (Esta criatura causa dano de combate antes de criaturas sem a habilidade de iniciativa.),"""Eu ouço seus uivos lúgubres, os lobos chamam sua família por toda a planície congelada."" — Batedor de Oneah",Lobos da Tundra
W,Portuguese (Brazil),Criatura — Humano Monge Clérigo,"Quando Monge Venerável entra em jogo, você ganha 2 pontos de vida.",A idade desgasta a carne mas fortalece a alma.,Monge Venerável
W,Portuguese (Brazil),Criatura — Barreira,"Defensor, voar (Esta criatura não pode atacar, e pode bloquear criaturas com a habilidade de voar.)","O ar sussurrou com o som cortante de incontáveis lâminas que pairaram perante os invasores, como se empunhadas por uma falange de mãos invisíveis.",Barreira de Espadas
W,Portuguese (Brazil),Mágica Instantânea,As criaturas que você controla recebem +1/+1 até o final do turno.,"""Virá um dia em que a brava guerreira enfrentará uma batalha que não poderá vencer. Ela saudará esse dia como qualquer outro."" — Asmira, vingadora santa",Honra de Guerreiro
W,Portuguese (Brazil),Criatura — Grifo,Voar (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.),"""Abandonei meu sonho de um esquadrão de ginetes de grifos quando o custo se mostrou muito alto. Três treinadores foram devorados para cada grifo domesticado."" — Darien, Rei de Kjeldor",Grifo Selvagem
W,Portuguese (Brazil),Criatura — Espírito,"Voar (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.)
As criaturas não podem atacá-lo, a menos que o controlador delas pague {2} para cada criatura controlada por ele que o estiver atacando.","""Sua voz é justiça, clara e implacável."" — Akroma, vingadora angelical",Musa Nascida do Vento
W,Portuguese (Brazil),Criatura — Humano Cavaleiro,Iniciativa (Esta criatura causa dano de combate antes de criaturas sem a habilidade de iniciativa.),Seu idealismo combina mais com ele que sua armadura.,Jovem Cavaleiro
U,Portuguese (Brazil),Criatura — Humano Mago,"Quando Pesquisadores da Academia entra em jogo, você pode colocar um card de Aura de sua mão em jogo anexado a Pesquisadores da Academia.",Eles brandiam suas últimas teorias como os guerreiros fariam com suas armas.,Pesquisadores da Academia
U,Portuguese (Brazil),Criatura — Elemental,Voar (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.),"""O vento oeste, um intruso nos domínios do tempo ocidental, é um tirano impassível segurando um afiado punhal oculto às costas para um golpe traiçoeiro."" — Joseph Conrad, Espelho do Mar",Elemental do Ar
U,Portuguese (Brazil),Criatura Lendária — Tritão Mago,{3}: O jogador alvo coloca os três primeiros cards de seu próprio grimório em seu próprio cemitério.,"""A vida é um jogo. A única coisa que importa é se você é um peão ou um jogador.""",Embaixador Laquatus
U,Portuguese (Brazil),Criatura Lendária — Mago,"{T}: Compre três cards.
{2}{U}{U}: Devolva Arcanis, o Onipotente, para a mão de seu dono.","""Não se preocupe com a minha origem, minha raça ou meus antepassados. Busque minha reputação nas liças e então faça sua aposta.""","Arcanis, o Onipotente"
U,Portuguese (Brazil),Mágica Instantânea,Ganhe o controle da Aura alvo anexada a uma permanente. Anexe-a a outra permanente que ela possa encantar.,"""Não é exatamente um roubo. É mais como um empréstimo a longo prazo.""",Enxerto de Aura
U,Portuguese (Brazil),Criatura — Ave Soldado,"Voar (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.)
Quando Pescador Aviano é colocado num cemitério vindo de jogo, você pode comprar um card.",As mesmas lanças que caçam sua comida hoje irão defender suas casas amanhã.,Pescador Aviano
U,Portuguese (Brazil),Criatura — Ave Soldado Mago,"Voar (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.)
{1}{U}: O jogador alvo revela o card do topo de seu próprio grimório.","""A menor ondulação na superfície conta uma história com dez braças de profundidade.""",Leitor dos Ventos Aviano
U,Portuguese (Brazil),Mágica Instantânea,Devolva a permanente alvo para a mão de seu dono.,Os antigos caçadores de Jamuraa criaram uma arma que retornaria ao ponto de partida. Os etermantes tolarianos desenvolveram uma mágica que omitia totalmente a arma.,Bumerangue
U,Portuguese (Brazil),Criatura — Cefálida Mago,"Toda vez que Policial Cefálida causar dano de combate a um jogador, devolva aquela quantidade de permanentes alvo que aquele jogador controla para as mãos dos seus donos.",Os cefálidas não policiam as pessoas. Eles policiam lealdades.,Policial Cefálida
U,Portuguese (Brazil),Criatura — Elemental,"Voar (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.)
Elemental das Nuvens só pode bloquear criaturas com a habilidade de voar.",Os soratamis envolvem seus castelos celestes em nuvens vivas que servem tanto de espada como de escudo.,Elemental das Nuvens
U,Portuguese (Brazil),Criatura — Fada,"Voar (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.)
Sílfide das Nuvens só pode bloquear criaturas com a habilidade de voar.","As delicadas sílfides transportam mensagens para os saprazzianos, mas se recusam a pousar nos nojentos mercados da Cidade de Mercádia.",Sílfide das Nuvens
U,Portuguese (Brazil),Feitiço,Compre dois cards.,"""Ser sábio não é contar todas as gotas de uma queda d'água. Ser sábio é aprender o porquê da água procurar a terra.""",Conselho dos Soratamis
U,Portuguese (Brazil),Criatura — Humano Mago,{T}: A criatura alvo com poder menor ou igual a 2 não pode ser bloqueada neste turno.,"Siga a magi-trilhadora — Expressão otariana que significa ""fuja depressa""",Magi-Trilhadora Ladina
U,Portuguese (Brazil),Encantamento — Aura,"Encantar criatura (Ao jogar este card, escolha uma criatura alvo. Este card entra em jogo anexado àquela criatura.)
A criatura encantada não é desvirada durante a etapa de desvirar de seu controlador.","O viashino usou a mágica para secar alimentos para a travessia do Grande Deserto. Mais tarde, o Suq'Ata descobriu seu uso na guerra.",Desidratação
U,Portuguese (Brazil),Mágica Instantânea,Vire todas as criaturas que não tenham a habilidade de voar.,"""Do mar veio toda a vida, e ao mar ela retornará. Quanto antes melhor."" — Imperador Aboshan",Dilúvio
U,Portuguese (Brazil),Criatura — Serpente,"Quando Habitante das Profundezas entrar em jogo, devolva as criaturas que você controla para a mão de seus donos.","De acordo com uma lenda dos tritões, um habitante das profundezas engole o horizonte ao final de cada dia, trazendo o manto gélido da noite.",Habitante das Profundezas
U,Portuguese (Brazil),Mágica Instantânea,Anule a mágica alvo. Olhe os quatro cards do topo de seu grimório e depois coloque-os de volta em qualquer ordem.,"""Eu disse para você perscrutar a mente dele, e não para arrancar sua cabeça."" — Pesquisador do Projeto da Rebentação",Perturbar
U,Portuguese (Brazil),Criatura — Espírito,"No início da manutenção de cada jogador, aquele jogador coloca os X cards do topo do grimório dele em seu próprio cemitério, sendo X igual ao número de cards na mão dele.","""Sua voz é percepção, penetrante e verdadeira."" — Ixidor, escultor da realidade",Musa Nascida do Sonho
U,Portuguese (Brazil),Mágica Instantânea,Devolva todas as criaturas para as mãos de seus donos.,"""Assim que eu soprar a brisa, você verá a fumaça de que são feitos seus guerreiros."" — Alexi, maga zefiriana",Evacuação
U,Portuguese (Brazil),Mágica Instantânea,Anule a mágica alvo vermelha ou verde.,"""Natureza? Fogo? Bah Ambos são caóticos e difíceis de controlar. O gelo tem estrutura, é leve como uma pena e sólido como uma geleira. No gelo há força"" — Heidar, mestre Vento-de-Gelo",Congelar Rápido
U,Portuguese (Brazil),Criatura — Elemental,"Voar (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.)
Quando Elemental da Neblina atacar ou bloquear, sacrifique-o no final do combate.","""É o sentinela perfeito. Aqueles que devem passar podem atravessá-lo diretamente."" — Teferi",Elemental da Neblina
U,Portuguese (Brazil),Criatura — Caranguejo,{U}: Desvire Caranguejo Ferradura.,"""Hmm . . . parece um inseto. Vamos abrir e descobrir se o gosto é o mesmo"" — Squee, taifeiro goblin",Caranguejo Ferradura
U,Portuguese (Brazil),Mágica Instantânea,Devolva todos os artefatos que o jogador alvo possui para a mão dele.,"A pesquisa de Hurkyl na Faculdade de Lat-Nam não foi suficiente para deter os dois irmãos, mas pelos séculos seguintes sua magia ensinou a moderação aos artífices.",Retorno de Hurkyl
U,Portuguese (Brazil),Criatura — Gênio,Voar (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.),"Sangue real entre os espíritos do ar, o gênio Mahamoti cavalga nas asas dos ventos. Tão perigoso nos salões de jogos como na batalha, ele é um mestre dos truques e engodos.",Gênio Mahamoti
U,Portuguese (Brazil),Criatura — Tritão Ladino,{T}: Compre um card e depois descarte um card.,"Agora, pertence ao tritão. —Oração do naufrágio",Tritão Saqueador
U,Portuguese (Brazil),Mágica Instantânea,"Mude o texto da permanente alvo substituindo todas as palavras relativas a uma cor por outra, ou um tipo de terreno básico por outro. (Por exemplo, você pode mudar ""criatura que não seja preta"" para ""criatura que não seja verde"" ou ""travessia de floresta"" para ""travessia de ilha"". Este efeito não cessa no final do turno.)","""O mundo, acabei percebendo, é uma enorme tela branca na qual pintar."" — Ixidor, escultor da realidade",Contraverter a Mente
U,Portuguese (Brazil),Mágica Instantânea,"Olhe a mão do jogador alvo.
Compre um card.",Algumas vezes é preciso ler nas entrelinhas das mentes.,Espiar
U,Portuguese (Brazil),Encantamento — Aura,"Encantar criatura (Ao jogar este card, escolha uma criatura alvo. Este card entra em jogo anexado àquela criatura.)
Você controla a criatura encantada.",Não há limites para o que um mago habilidoso pode coletar.,Persuasão
U,Portuguese (Brazil),Criatura — Ilusão Guerreiro,Guerreiro Fantasma não pode ser bloqueado.,"""Existem tantas almofadas de ilusão quanto flocos em uma nevasca. Nós acordamos de um sonho em outro."" — Ralph Waldo Emerson, ""Ilusões""",Guerreiro Fantasma
U,Portuguese (Brazil),Mágica Instantânea,"Até o final do turno, se o jogador alvo fosse comprar um card, em vez disso, aquele jogador pula aquela compra e você compra um card.","""Você está pensando o que eu estou pensando?""",Plagiar
U,Portuguese (Brazil),Criatura — Humano Mago,"{U}, {T}: Você pode virar ou desvirar a criatura alvo.","""Esse é o problema do livre arbítrio. Você não se sente diferente sem ele."" — Embaixador Laquatus",Titeriteiro
U,Portuguese (Brazil),Feitiço,O jogador alvo embaralha seu próprio cemitério em seu próprio grimório.,Deixe a porta para o passado levemente entreaberta e ela poderá ser arrancada de suas dobradiças.,Entregar-se a Reminiscências
U,Portuguese (Brazil),Mágica Instantânea,Anule a mágica de criatura alvo.,"Quando seus inimigos são soldados rejeitados, para eles é negada a vitória.",Remover a Alma
U,Portuguese (Brazil),Encantamento — Aura,"Encantar criatura (Ao jogar este card, escolha uma criatura alvo. Este card entra em jogo anexado àquela criatura.)
A criatura encantada tem manto. (Ela não pode ser alvo de mágicas ou habilidades.)","""Dizem que é impossível golpear o que não se pode ver. Eu prefiro que você golpeie o que eu quero que você veja."" — Arcanis, o Onipotente",Túnica de Espelhos
U,Portuguese (Brazil),Criatura — Tritão,Travessia de Ilha (Esta criatura não poderá ser bloqueada enquanto o jogador defensor controlar uma Ilha.),"Os tritões de Rootwater raramente são vistos hoje em dia, mas os cadáveres de elfos nunca foram tão numerosos.",Comando de Rootwater
U,Portuguese (Brazil),Criatura — Tritão,{T}: Ganhe o controle da criatura alvo enquanto aquela criatura estiver encantada.,"Nas cruéis profundezas de Rootwater, os encantos dos residentes da superfície são inúteis... a não ser como iscas.",Matriarca de Rootwater
U,Portuguese (Brazil),Criatura — Serpente,"Monstro Marinho não pode atacar, a menos que o jogador defensor controle uma Ilha.",É fácil acreditar que o monstro é um mito até que sintas duzentas toneladas de mito esmagando teu navio.,Monstro Marinho
U,Portuguese (Brazil),Encantamento — Aura,"Encantar criatura (Ao jogar este card, escolha uma criatura alvo. Este card entra em jogo anexado àquela criatura.)
A criatura encantada tem a habilidade de voar. (Ela só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.)
{U}: Devolva Asas Tremeluzentes para a mão de seu dono.","""Eu deixo palavras como 'impossível' para a multidão. O que eu posso imaginar, posso criar."" — Ixidor, escultor da realidade",Asas Tremeluzentes
U,Portuguese (Brazil),Feitiço,Compre três cards e depois descarte um card.,Demore-se mais nos pensamentos que brilham mais.,Peneirar
U,Portuguese (Brazil),Criatura — Metathran Mago,{2}: A criatura alvo branca ou preta ganha a habilidade de voar até o final do turno. (Ela só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.),"""Deixa que a minha sabedoria te dê asas.""",Tecelão dos Céus
U,Portuguese (Brazil),Criatura — Dragonete,Voar (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.),"Os dragonetes ariscos são solitários. Até mesmo as fêmeas, quando estão chocando, mal conseguem conter o impulso de devorar seus filhotes.",Dragonete Trinchador
U,Portuguese (Brazil),Criatura — Dragonete,"Voar (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.)
Sacrifique Cria de Cauda Espigada: Anule a mágica alvo a menos que seu controlador pague {1}.",Ele se esquiva das ondas de água para se preparar para as ondas de magia.,Cria de Cauda Espigada
U,Portuguese (Brazil),Encantamento,"No início da manutenção de cada jogador, aquele jogador devolve uma criatura que ele controla para a mão de seu dono.","""Eu não me preocupo com as esperanças de meus inimigos. As esperanças seguem as marés. Elas logo vão recuar."" — Embaixador Laquatus",Esperança Submersa
U,Portuguese (Brazil),Encantamento,Seus oponentes jogam com os cards de suas respectivas mãos revelados.,"""A questão não é se eu posso ler mentes. E sim se eu ainda encontrarei uma mente que valha a pena ler."" — Embaixador Laquatus",Telepatia
U,Portuguese (Brazil),Mágica Instantânea,"Olhe os três cards do topo de seu grimório. Coloque um desses cards em sua mão, um no topo de seu grimório e o outro no fundo de seu grimório.","A maestria é atingida quando ""dizer as horas"" se torna ""dizer às horas o que fazer.""",Dizer as Horas
U,Portuguese (Brazil),Criatura — Ave,"Voar (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.)
Toda vez que Gralha Larápia causa dano a um oponente, você compra um card.",Os outros pássaros coletam gravetos para seus ninhos. As gralhas coletam jóias para os delas.,Gralha Larápia
U,Portuguese (Brazil),Feitiço,Compre quatro cards.,"""Embora a carta se estendesse por muitas e muitas páginas, fiquei sabendo de tudo o que precisava com apenas um olhar para o rosto do mensageiro."" — Barrin, mago mestre",Novidades
