colors,language,type,text,flavor,title,raw_text
W,Portuguese (Brazil),Criatura — Humano Cavaleiro,"Lampejo (Você poderá jogar esta mágica a qualquer momento em que puder jogar uma mágica instantânea.)
Iniciativa (Esta criatura causa dano de combate antes de criaturas sem a habilidade de iniciativa.)","""Nós os chamávamos de 'relâmpago de armadura'."" — Gerrard do Bons Ventos",Cavaleiro de Benália,"Cavaleiro de Benália - Lampejo (Você poderá jogar esta mágica a qualquer momento em que puder jogar uma mágica instantânea.) Iniciativa (Esta criatura causa dano de combate antes de criaturas sem a habilidade de iniciativa.) ""Nós os chamávamos de 'relâmpago de armadura'."" — Gerrard do Bons Ventos"
W,Portuguese (Brazil),Criatura Lendária — Humano Rebelde,"Previna todo o dano que seria causado a Cho-Manno, Revolucionário.","""As máscaras de Mercádia não podem mais esconder a verdade. Nosso dia finalmente chegou.""","Cho-Manno, Revolucionário","Cho-Manno, Revolucionário - Previna todo o dano que seria causado a Cho-Manno, Revolucionário. ""As máscaras de Mercádia não podem mais esconder a verdade. Nosso dia finalmente chegou."""
W,Portuguese (Brazil),Mágica Instantânea,Coloque a criatura alvo atacante no fundo do grimório de seu dono. Seu controlador ganha uma quantidade de pontos de vida igual à resistência dela.,"""Sem dúvida os árbitros darão um fim a você, depois que todos os documentos forem assinados. Mas eu terei justiça agora"" — Alovnek, mago da guilda Boros",Condenar,"Condenar - Coloque a criatura alvo atacante no fundo do grimório de seu dono. Seu controlador ganha uma quantidade de pontos de vida igual à resistência dela. ""Sem dúvida os árbitros darão um fim a você, depois que todos os documentos forem assinados. Mas eu terei justiça agora"" — Alovnek, mago da guilda Boros"
W,Portuguese (Brazil),Mágica Instantânea,Destrua o encantamento alvo.,"""A ilusão é o arrimo dos que desconhecem a realidade."" — Cho-Manno",Desmistificar,"Desmistificar - Destrua o encantamento alvo. ""A ilusão é o arrimo dos que desconhecem a realidade."" — Cho-Manno"
W,Portuguese (Brazil),Criatura — Humano Soldado,As outras criaturas do tipo Soldado recebem +1/+1 e têm iniciativa. (Elas causam dano de combate antes de criaturas sem a habilidade de iniciativa.),Ele é o único que consegue enxergar alguma coisa nos mapas sobrepostos e relatórios conflituosos.,Marechal-de-Campo,Marechal-de-Campo - As outras criaturas do tipo Soldado recebem +1/+1 e têm iniciativa. (Elas causam dano de combate antes de criaturas sem a habilidade de iniciativa.) Ele é o único que consegue enxergar alguma coisa nos mapas sobrepostos e relatórios conflituosos.
W,Portuguese (Brazil),Criatura — Espírito,{T}: A criatura alvo recebe +1/+1 até o final do turno.,"""Sempre pensei no destino como uma treliça de aço: intricada mas rigorosamente imutável. Até que uma força entortou as barras do destino para salvar a minha vida."" — Ilromov, contador de histórias viajante",Carcereiro Fantasma,"Carcereiro Fantasma - {T}: A criatura alvo recebe +1/+1 até o final do turno. ""Sempre pensei no destino como uma treliça de aço: intricada mas rigorosamente imutável. Até que uma força entortou as barras do destino para salvar a minha vida."" — Ilromov, contador de histórias viajante"
W,Portuguese (Brazil),Encantamento,As criaturas que você controla recebem +1/+1.,"Uma vez ouvido, o canto de batalha de um anjo torna-se parte do ouvinte para sempre.",Antífona Gloriosa,"Antífona Gloriosa - As criaturas que você controla recebem +1/+1. Uma vez ouvido, o canto de batalha de um anjo torna-se parte do ouvinte para sempre."
W,Portuguese (Brazil),Mágica Instantânea,Saraivada de Flechas causa X pontos de dano divididos como você escolher entre qualquer número de criaturas atacantes alvo.,"""Não disparem nenhuma flecha até que eu diga. E quando eu disser, não deixem nenhuma flecha em Eiganjo."" — General Takeno",Saraivada de Flechas,"Saraivada de Flechas - Saraivada de Flechas causa X pontos de dano divididos como você escolher entre qualquer número de criaturas atacantes alvo. ""Não disparem nenhuma flecha até que eu diga. E quando eu disser, não deixem nenhuma flecha em Eiganjo."" — General Takeno"
W,Portuguese (Brazil),Encantamento — Aura,"Encantar criatura (Ao jogar este card, escolha uma criatura alvo. Este card entra em jogo anexado àquela criatura.)
Previna todo o dano que seria causado a e causado pela criatura encantada.","Para os que atingem a iluminação, a violência é uma distração desnecessária.",Coração de Luz,"Coração de Luz - Encantar criatura (Ao jogar este card, escolha uma criatura alvo. Este card entra em jogo anexado àquela criatura.) Previna todo o dano que seria causado a e causado pela criatura encantada. Para os que atingem a iluminação, a violência é uma distração desnecessária."
W,Portuguese (Brazil),Encantamento,Cada criatura que você controla pode bloquear uma criatura adicional.,"Na guerra, assim como na sociedade, a posição é fundamental.",Terreno Elevado,"Terreno Elevado - Cada criatura que você controla pode bloquear uma criatura adicional. Na guerra, assim como na sociedade, a posição é fundamental."
W,Portuguese (Brazil),Mágica Instantânea,Previna todo o dano de combate que seria causado neste turno.,"""Hoje há fartura e paz em nossas terras, mas a guerra não acabou. Reserve sua sede de sangue. Você vai precisar dela amanhã."" — Karrim, curandeiro Samita",Dia Sagrado,"Dia Sagrado - Previna todo o dano de combate que seria causado neste turno. ""Hoje há fartura e paz em nossas terras, mas a guerra não acabou. Reserve sua sede de sangue. Você vai precisar dela amanhã."" — Karrim, curandeiro Samita"
W,Portuguese (Brazil),Encantamento — Aura,"Encantar criatura (Ao jogar este card, escolha uma criatura alvo. Este card entra em jogo anexado àquela criatura.)
A criatura encantada recebe +1/+2.","""Que os anjos voem atrás de você. Que sua espada possa romper a escuridão."" —Benção de guerra de Serra",Força Divina,"Força Divina - Encantar criatura (Ao jogar este card, escolha uma criatura alvo. Este card entra em jogo anexado àquela criatura.) A criatura encantada recebe +1/+2. ""Que os anjos voem atrás de você. Que sua espada possa romper a escuridão."" —Benção de guerra de Serra"
W,Portuguese (Brazil),Criatura — Humano Soldado,{W}: Guarda de Honra recebe +0/+1 até o final do turno.,A força de um. A coragem de dez.,Guarda de Honra,Guarda de Honra - {M}: Guarda de Honra recebe +0/+1 até o final do turno. A força de um. A coragem de dez.
W,Portuguese (Brazil),Criatura — Humano Clérigo,{1}{W}{W}: A criatura alvo recebe +1/+1 até o final do turno.,"Grelden ajoelhou-se e sentiu a mão fria e seca do sacerdote em sua fronte. Horas mais tarde, quando voltou a ter consciência, estava coberto com o sangue de seus inimigos no campo da vitória.",Sacerdote Icatiano,"Sacerdote Icatiano - {1}{M}{M}: A criatura alvo recebe +1/+1 até o final do turno. Grelden ajoelhou-se e sentiu a mão fria e seca do sacerdote em sua fronte. Horas mais tarde, quando voltou a ter consciência, estava coberto com o sangue de seus inimigos no campo da vitória."
W,Portuguese (Brazil),Criatura — Humano Soldado,"{T}: Todo o dano de combate que seria causado a você por criaturas não bloqueadas neste turno, em vez disso, será causado à Guarda Real Kjeldorana.","Na tundra congelada encontra-se a Guarda Real Kjeldorana, lanças ao alto, com o juramento ao rei em seus lábios.",Guarda Real Kjeldorana,"Guarda Real Kjeldorana - {T}: Todo o dano de combate que seria causado a você por criaturas não bloqueadas neste turno, em vez disso, será causado à Guarda Real Kjeldorana. Na tundra congelada encontra-se a Guarda Real Kjeldorana, lanças ao alto, com o juramento ao rei em seus lábios."
W,Portuguese (Brazil),Criatura — Elefante Clérigo,"{W}, {T}: Vire a criatura alvo.",Os místicos mais antigos levam seu voto de silêncio tão a sério que o impõem a qualquer um que esteja em sua presença.,Loxodonte Místico,"Loxodonte Místico - {M}, {T}: Vire a criatura alvo. Os místicos mais antigos levam seu voto de silêncio tão a sério que o impõem a qualquer um que esteja em sua presença."
W,Portuguese (Brazil),Criatura — Humano Soldado,"Quando Sentinela Leal bloquear uma criatura, destrua aquela criatura e Sentinela Leal.","""Minha causa é simples: Impedi-lo, a qualquer custo, de ver o interior desta fortaleza.""",Sentinela Leal,"Sentinela Leal - Quando Sentinela Leal bloquear uma criatura, destrua aquela criatura e Sentinela Leal. ""Minha causa é simples: Impedi-lo, a qualquer custo, de ver o interior desta fortaleza."""
W,Portuguese (Brazil),Mágica Instantânea,Previna todo o dano que as fontes pretas e vermelhas causariam neste turno.,"""O Escudo Branco não é o metal polido que você amarra ao antebraço, mas a convicção que arde em seu peito."" — Lucilde Fiksdotter, líder da Ordem do Escudo Branco",Luminescência,"Luminescência - Previna todo o dano que as fontes pretas e vermelhas causariam neste turno. ""O Escudo Branco não é o metal polido que você amarra ao antebraço, mas a convicção que arde em seu peito."" — Lucilde Fiksdotter, líder da Ordem do Escudo Branco"
W,Portuguese (Brazil),Encantamento,"As criaturas do tipo Soldado têm vigilância. (Elas não são viradas para atacar.)
{2}{W}: Coloque em jogo uma ficha de criatura branca 1/1 do tipo Soldado.","As guerras são vencidas com força, coragem e números especialmente números.",Mobilização,"Mobilização - As criaturas do tipo Soldado têm vigilância. (Elas não são viradas para atacar.) {2}{M}: Coloque em jogo uma ficha de criatura branca 1/1 do tipo Soldado. As guerras são vencidas com força, coragem e números especialmente números."
W,Portuguese (Brazil),Criatura — Humano Nômade Clérigo,"{W}, {T}: Coloque em jogo o card alvo de Aura de um cemitério anexado a uma criatura que você controla. (Você controla aquela Aura.)","Nas estepes selvagens, a história desaparece na poeira. Apenas os criadores de mitos permanecem para contar o que foi, é e será.",Nômade Criador de Mitos,"Nômade Criador de Mitos - {M}, {T}: Coloque em jogo o card alvo de Aura de um cemitério anexado a uma criatura que você controla. (Você controla aquela Aura.) Nas estepes selvagens, a história desaparece na poeira. Apenas os criadores de mitos permanecem para contar o que foi, é e será."
W,Portuguese (Brazil),Encantamento — Aura,"Encantar criatura (Ao jogar este card, escolha uma criatura alvo. Este card entra em jogo anexado àquela criatura.)
A criatura encantada não pode atacar nem bloquear.","Pela primeira vez na vida, Grakk sentiu-se agitado e confuso por dentro.",Pacifismo,"Pacifismo - Encantar criatura (Ao jogar este card, escolha uma criatura alvo. Este card entra em jogo anexado àquela criatura.) A criatura encantada não pode atacar nem bloquear. Pela primeira vez na vida, Grakk sentiu-se agitado e confuso por dentro."
W,Portuguese (Brazil),Criatura — Humano Cavaleiro,"Iniciativa, proteção contra o preto, proteção contra o vermelho (Esta criatura causa dano de combate antes de criaturas sem a habilidade de iniciativa. Esta criatura não pode ser bloqueada, ser alvo, sofrer dano, ou ser encantada por algo que seja preto ou vermelho.)","""Não me considero um herói. Sei apenas o que os Vec ensinam: a justiça deve ser sempre feita e a corrupção deve ser sempre combatida.""",Paladino en-Vec,"Paladino en-Vec - Iniciativa, proteção contra o preto, proteção contra o vermelho (Esta criatura causa dano de combate antes de criaturas sem a habilidade de iniciativa. Esta criatura não pode ser bloqueada, ser alvo, sofrer dano, ou ser encantada por algo que seja preto ou vermelho.) ""Não me considero um herói. Sei apenas o que os Vec ensinam: a justiça deve ser sempre feita e a corrupção deve ser sempre combatida."""
W,Portuguese (Brazil),Encantamento — Aura,"Encantar criatura (Ao jogar este card, escolha uma criatura alvo. Este card entra em jogo anexado àquela criatura.)
Todo o dano que seria causado a você, em vez disso, é causado à criatura encantada.","""Por que devo considerar uma punição para as minhas ações quando tenho tantos indivíduos desejosos de fazê-lo por mim?"" — Senhor Konda",Pária,"Pária - Encantar criatura (Ao jogar este card, escolha uma criatura alvo. Este card entra em jogo anexado àquela criatura.) Todo o dano que seria causado a você, em vez disso, é causado à criatura encantada. ""Por que devo considerar uma punição para as minhas ações quando tenho tantos indivíduos desejosos de fazê-lo por mim?"" — Senhor Konda"
W,Portuguese (Brazil),Mágica Instantânea,"Você ganha 3 pontos de vida.
Compre um card.",Os curandeiros samitas nunca misturam seu elixir pungente com adoçante ou chá. A ameaça de uma segunda dose é suficiente para colocar a maioria dos guerreiros em pé novamente.,Dose Restauradora,Dose Restauradora - Você ganha 3 pontos de vida. Compre um card. Os curandeiros samitas nunca misturam seu elixir pungente com adoçante ou chá. A ameaça de uma segunda dose é suficiente para colocar a maioria dos guerreiros em pé novamente.
W,Portuguese (Brazil),Criatura Lendária — Anjo,"Voar (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.)
No início de sua manutenção, você pode devolver o card de criatura alvo de seu cemitério para o jogo.","""Você não morreu até que eu consinta.""","Reya, Portadora da Alvorada","Reya, Portadora da Alvorada - Voar (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.) No início de sua manutenção, você pode devolver o card de criatura alvo de seu cemitério para o jogo. ""Você não morreu até que eu consinta."""
W,Portuguese (Brazil),Mágica Instantânea,A criatura alvo bloqueadora recebe +7/+7 até o final do turno.,Às vezes a maior força é a força da convicção.,Integridade,Integridade - A criatura alvo bloqueadora recebe +7/+7 até o final do turno. Às vezes a maior força é a força da convicção.
W,Portuguese (Brazil),Encantamento,Nenhum jogador pode jogar mais do que uma mágica a cada turno.,"Indicados pelo próprio cã, os membros do tribunal garantem que todas as disputas sejam resolvidas com a máxima justiça.",Regra de Lei,"Regra de Lei - Nenhum jogador pode jogar mais do que uma mágica a cada turno. Indicados pelo próprio cã, os membros do tribunal garantem que todas as disputas sejam resolvidas com a máxima justiça."
W,Portuguese (Brazil),Criatura — Humano Clérigo,{T}: Previna o próximo 1 ponto de dano que seria causado à criatura ou ao jogador alvo neste turno.,"Os curandeiros acabam por adquirir os dons divinos da integridade física e espiritual. Aos mais devotos, também é concedida a habilidade de passar a integridade física para outros.",Curandeiro Samita,"Curandeiro Samita - {T}: Previna o próximo 1 ponto de dano que seria causado à criatura ou ao jogador alvo neste turno. Os curandeiros acabam por adquirir os dons divinos da integridade física e espiritual. Aos mais devotos, também é concedida a habilidade de passar a integridade física para outros."
W,Portuguese (Brazil),Criatura — Anjo,"Voar, vigilância (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance, e esta criatura não é virada para atacar.)",O som de sua espada é mais belo que o ecoar das vozes de um coral.,Anjo Serra,"Anjo Serra - Voar, vigilância (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance, e esta criatura não é virada para atacar.) O som de sua espada é mais belo que o ecoar das vozes de um coral."
W,Portuguese (Brazil),Encantamento — Aura,"Encantar criatura (Ao jogar este card, escolha uma criatura alvo. Este card entra em jogo anexado àquela criatura.)
A criatura encantada recebe +2/+2 e tem a habilidade de voar e vigilância. (Ela só pode ser bloqueada por criaturas com a habilidade de voar ou alcance e não é virada para atacar.)",O toque dos anjos de Serra eleva as esperanças e fortifica causas nobres.,Abraço de Serra,"Abraço de Serra - Encantar criatura (Ao jogar este card, escolha uma criatura alvo. Este card entra em jogo anexado àquela criatura.) A criatura encantada recebe +2/+2 e tem a habilidade de voar e vigilância. (Ela só pode ser bloqueada por criaturas com a habilidade de voar ou alcance e não é virada para atacar.) O toque dos anjos de Serra eleva as esperanças e fortifica causas nobres."
W,Portuguese (Brazil),Criatura — Felino Cavaleiro,"Voar, iniciativa (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance, e causa dano de combate antes de criaturas sem a habilidade de iniciativa.)","""Nós leoninos passamos a governar as planícies alçando vôo nos céus."" — Raksha, Filhote Dourado",Patrulha Caçadora Celeste,"Patrulha Caçadora Celeste - Voar, iniciativa (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance, e causa dano de combate antes de criaturas sem a habilidade de iniciativa.) ""Nós leoninos passamos a governar as planícies alçando vôo nos céus."" — Raksha, Filhote Dourado"
W,Portuguese (Brazil),Criatura — Felino Cavaleiro,"Voar, vigilância (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance, e esta criatura não é virada para atacar.)","Tão incansável quanto sua cavalgada, a vigília de um caçador celeste é medida em dias.",Caçadora Celeste Espreitadora,"Caçadora Celeste Espreitadora - Voar, vigilância (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance, e esta criatura não é virada para atacar.) Tão incansável quanto sua cavalgada, a vigília de um caçador celeste é medida em dias."
W,Portuguese (Brazil),Criatura — Felino Cavaleiro,"Voar, golpe duplo (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance, e causa tanto o dano da iniciativa quanto o dano de combate normal.)","""Pegue a graça e a força mortais de um leonino, misture com a cavalgada de um ptero, capaz de partir um inimigo ao meio, e arme-o com aço entalhado. Isso é um caçador celeste e a razão de Taj-Nar nunca ter sido subjugada."" — Raksha, Filhote Dourado",Caçadora Celeste Escaramuçadora,"Caçadora Celeste Escaramuçadora - Voar, golpe duplo (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance, e causa tanto o dano da iniciativa quanto o dano de combate normal.) ""Pegue a graça e a força mortais de um leonino, misture com a cavalgada de um ptero, capaz de partir um inimigo ao meio, e arme-o com aço entalhado. Isso é um caçador celeste e a razão de Taj-Nar nunca ter sido subjugada."" — Raksha, Filhote Dourado"
W,Portuguese (Brazil),Criatura — Humano Clérigo,"Toda vez que outra criatura entra em jogo, você ganha 1 ponto de vida.",Conta as almas com cuidado e certifica-te que nenhuma se perdeu. — Ensinamento Vec,Encarregado das Almas,"Encarregado das Almas - Toda vez que outra criatura entra em jogo, você ganha 1 ponto de vida. Conta as almas com cuidado e certifica-te que nenhuma se perdeu. — Ensinamento Vec"
W,Portuguese (Brazil),Encantamento — Aura,"Encantar criatura (Ao jogar este card, escolha uma criatura alvo. Este card entra em jogo anexado àquela criatura.)
Toda vez que a criatura encantada causa dano, você ganha aquela quantidade em pontos de vida.","""Estamos todos inextrincavelmente ligados, nossas almas entrelaçadas como tapeçaria.""",Vínculo Espiritual,"Vínculo Espiritual - Encantar criatura (Ao jogar este card, escolha uma criatura alvo. Este card entra em jogo anexado àquela criatura.) Toda vez que a criatura encantada causa dano, você ganha aquela quantidade em pontos de vida. ""Estamos todos inextrincavelmente ligados, nossas almas entrelaçadas como tapeçaria."""
W,Portuguese (Brazil),Criatura — Humano Mago,{2}: A criatura alvo verde ou azul recebe +0/+1 até o final do turno.,"""Que a minha esperança seja teu escudo.""",Tecelão de Espíritos,"Tecelão de Espíritos - {2}: A criatura alvo verde ou azul recebe +0/+1 até o final do turno. ""Que a minha esperança seja teu escudo."""
W,Portuguese (Brazil),Criatura — Humano Clérigo Mutante,{7}{W}: Você ganha 5 ponto de vida.,"""As constelações formam um tapete de luzes que traçam a história despedaçada do meu povo. Dia e noite eu sinto a sua presença cintilante me chamando para completar a trama.""",Invocadora da Luz das Estrelas,"Invocadora da Luz das Estrelas - {7}{M}: Você ganha 5 ponto de vida. ""As constelações formam um tapete de luzes que traçam a história despedaçada do meu povo. Dia e noite eu sinto a sua presença cintilante me chamando para completar a trama."""
W,Portuguese (Brazil),Criatura — Humano Rebelde,Vigilância (Esta criatura não é virada para atacar.),"""Melhor deixar sua língua na toca, gentalha de Mercádia, pois suas palavras prateadas e seus subornos dourados não têm tanto brilho fora de sua cidade.""",Guarda Ferrenha,"Guarda Ferrenha - Vigilância (Esta criatura não é virada para atacar.) ""Melhor deixar sua língua na toca, gentalha de Mercádia, pois suas palavras prateadas e seus subornos dourados não têm tanto brilho fora de sua cidade."""
W,Portuguese (Brazil),Criatura — Ave,Voar (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.),"Seu olho, o sol fulgurante; seu grito, o vento penetrante.",Falcão da Cauda Solar,"Falcão da Cauda Solar - Voar (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.) Seu olho, o sol fulgurante; seu grito, o vento penetrante."
W,Portuguese (Brazil),Mágica Instantânea,Destrua todos os encantamentos.,"""Deixe tudo voltar a sua verdadeira natureza, para que o destino possa seguir seu curso.""",Tempestade de Luz,"Tempestade de Luz - Destrua todos os encantamentos. ""Deixe tudo voltar a sua verdadeira natureza, para que o destino possa seguir seu curso."""
W,Portuguese (Brazil),Criatura — Humano,"Quando Caçador de Tesouros entra em jogo, você pode devolver o card de artefato alvo de seu cemitério para a sua mão.","""Os tesouros dos anciãos pertencem aos museus, não às mãos sujas dos ladrões de tumbas.""",Caçador de Tesouros,"Caçador de Tesouros - Quando Caçador de Tesouros entra em jogo, você pode devolver o card de artefato alvo de seu cemitério para a sua mão. ""Os tesouros dos anciãos pertencem aos museus, não às mãos sujas dos ladrões de tumbas."""
W,Portuguese (Brazil),Criatura — Humano Clérigo,Você tem manto. (Você não pode ser alvo de mágicas ou habilidades.),Sua certeza é tão grande que meros fatos não podem abalá-la.,Adepto da Verdade,Adepto da Verdade - Você tem manto. (Você não pode ser alvo de mágicas ou habilidades.) Sua certeza é tão grande que meros fatos não podem abalá-la.
W,Portuguese (Brazil),Criatura — Lobo,Iniciativa (Esta criatura causa dano de combate antes de criaturas sem a habilidade de iniciativa.),"""Eu ouço seus uivos lúgubres, os lobos chamam sua família por toda a planície congelada."" — Batedor de Oneah",Lobos da Tundra,"Lobos da Tundra - Iniciativa (Esta criatura causa dano de combate antes de criaturas sem a habilidade de iniciativa.) ""Eu ouço seus uivos lúgubres, os lobos chamam sua família por toda a planície congelada."" — Batedor de Oneah"
W,Portuguese (Brazil),Criatura — Humano Monge Clérigo,"Quando Monge Venerável entra em jogo, você ganha 2 pontos de vida.",A idade desgasta a carne mas fortalece a alma.,Monge Venerável,"Monge Venerável - Quando Monge Venerável entra em jogo, você ganha 2 pontos de vida. A idade desgasta a carne mas fortalece a alma."
W,Portuguese (Brazil),Criatura — Barreira,"Defensor, voar (Esta criatura não pode atacar, e pode bloquear criaturas com a habilidade de voar.)","O ar sussurrou com o som cortante de incontáveis lâminas que pairaram perante os invasores, como se empunhadas por uma falange de mãos invisíveis.",Barreira de Espadas,"Barreira de Espadas - Defensor, voar (Esta criatura não pode atacar, e pode bloquear criaturas com a habilidade de voar.) O ar sussurrou com o som cortante de incontáveis lâminas que pairaram perante os invasores, como se empunhadas por uma falange de mãos invisíveis."
W,Portuguese (Brazil),Mágica Instantânea,As criaturas que você controla recebem +1/+1 até o final do turno.,"""Virá um dia em que a brava guerreira enfrentará uma batalha que não poderá vencer. Ela saudará esse dia como qualquer outro."" — Asmira, vingadora santa",Honra de Guerreiro,"Honra de Guerreiro - As criaturas que você controla recebem +1/+1 até o final do turno. ""Virá um dia em que a brava guerreira enfrentará uma batalha que não poderá vencer. Ela saudará esse dia como qualquer outro."" — Asmira, vingadora santa"
W,Portuguese (Brazil),Criatura — Grifo,Voar (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.),"""Abandonei meu sonho de um esquadrão de ginetes de grifos quando o custo se mostrou muito alto. Três treinadores foram devorados para cada grifo domesticado."" — Darien, Rei de Kjeldor",Grifo Selvagem,"Grifo Selvagem - Voar (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.) ""Abandonei meu sonho de um esquadrão de ginetes de grifos quando o custo se mostrou muito alto. Três treinadores foram devorados para cada grifo domesticado."" — Darien, Rei de Kjeldor"
W,Portuguese (Brazil),Criatura — Espírito,"Voar (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.)
As criaturas não podem atacá-lo, a menos que o controlador delas pague {2} para cada criatura controlada por ele que o estiver atacando.","""Sua voz é justiça, clara e implacável."" — Akroma, vingadora angelical",Musa Nascida do Vento,"Musa Nascida do Vento - Voar (Esta criatura só pode ser bloqueada por criaturas com a habilidade de voar ou alcance.) As criaturas não podem atacá-lo, a menos que o controlador delas pague {2} para cada criatura controlada por ele que o estiver atacando. ""Sua voz é justiça, clara e implacável."" — Akroma, vingadora angelical"
